"Kiesgerechtigden, blanco/ongeldige stemmen, uitgebrachte geldige stemmen per stemlocatie bij de verkiezingen voor de Tweede Kamer, maart 2021",,gebied,gbd_wijk_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebiednummer,Lijstnummer,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33,36,37
,Aanduiding,stadsdeel,wijk,Postcode,opgeroepenen,geldige stembiljetten,blanco stembiljetten,ongeldige stembiljetten,aangetroffen stembiljetten,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,Partij van de Eenheid,Vrij en Sociaal Nederland,De Groenen,Partij voor de Republiek
55,Stembureau Pathé de Munt,Centrum,A03,1017HD,1037,339,2,3,344,68,8,11,84,41,8,11,0,26,0,1,3,8,19,5,1,36,2,1,0,0,4,0,0,0,0,0,1,0,0,1,0,0
57,Stembureau Scheepvaartsmuseum,Centrum,A09,1018KK,967,1381,5,3,1389,115,35,27,437,235,34,95,15,124,1,2,10,14,97,13,2,106,5,7,1,1,1,1,2,1,0,0,0,0,0,0,0,0
58,Stembureau NH Collection Barbizon Palace,Centrum,A00,1012AD,966,300,2,2,304,34,11,7,73,36,13,20,6,19,1,0,1,7,20,6,1,31,0,6,2,0,0,0,0,0,0,0,1,0,0,0,1,4
59,Stembureau Keizersgracht Kerk,Centrum,A03,1017 EM,647,649,2,1,652,148,18,23,200,53,15,21,6,45,0,1,1,18,17,6,2,65,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0
60,Stembureau Stichting De Oude Gracht,Centrum,A02,1016 DZ,908,455,0,0,455,73,9,9,131,42,13,26,7,35,0,4,0,12,20,5,4,55,0,4,0,0,2,0,0,0,0,2,0,0,0,1,0,1
61,Stembureau Room Mate Aitana,Centrum,A05,1013 MM,1076,359,0,0,359,54,11,13,93,45,10,22,6,27,1,0,10,8,15,9,0,31,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
63,Stembureau Het Bushuis,Centrum,A00,1012 CX,941,375,0,1,376,43,15,9,106,56,6,20,1,31,0,0,2,5,24,5,0,44,0,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0
64,Stembureau UvA - locatie P.C. Hoofthuis,Centrum,A01,1012 VB,740,351,1,1,353,57,4,7,97,49,9,21,0,30,1,1,5,10,32,2,0,19,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
66,Stembureau De Rode Hoed,Centrum,A02,1015 CV,757,541,0,1,542,89,9,16,184,52,16,46,2,39,1,0,0,18,18,4,0,45,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
67,Stembureau Noorderkerk,Centrum,A06,1015 NA,720,1464,4,3,1471,139,48,30,451,170,49,90,13,153,4,2,5,46,71,17,1,153,0,9,0,1,11,0,0,0,0,0,0,1,0,0,0,0
68,Stembureau Museumwerf 't Kromhout,Centrum,A09,1018 WJ,1080,697,0,1,698,45,12,6,198,111,28,80,2,89,4,0,4,12,42,4,0,55,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0
69,Stembureau Museumwerf 't Kromhout,Centrum,A09,1018 WJ,1045,629,0,0,629,37,4,8,181,115,29,59,5,65,1,1,3,9,37,4,0,63,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0
70,Stembureau OBS De Witte Olifant,Centrum,A04,1011 DB,678,372,2,2,376,37,15,2,94,47,21,36,4,32,0,0,1,10,23,0,2,43,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,Stembureau Westerkerk,Centrum,A02,1016GW,726,1329,2,0,1331,155,34,23,423,160,55,99,8,130,4,0,9,33,55,15,1,107,0,6,2,0,6,0,2,0,0,0,0,0,0,1,1,0
72,Stembureau De Melkweg,Centrum,A07,1017 PH,734,1136,0,3,1139,130,21,16,341,145,33,49,5,101,1,0,4,26,112,19,1,113,1,9,2,2,0,0,1,1,0,0,2,0,0,0,1,0
